Name,Action,Industry,Country,Grade
LUSH,suspend online sales & supply to Russia,Consumer Discretionary,United Kingdom,B
M&G,phased divestment of Russian assets,Financials,United Kingdom,B
Maersk,suspend all shipments to Russia,Industrials,Denmark,B
Magna,suspend Russian plants,Consumer Discretionary,Canada,B
Magna Steyr,suspend deliveries to Russia,Consumer Discretionary,Austria,B
Mango,suspend direct operations in Russia,Consumer Discretionary,Spain,B
Manolo Blahnik,suspend sales to Russia,Consumer Discretionary,United Kingdom,B
Marks & Spencer,suspend all shipments to Russia,Consumer Staples,United Kingdom,B
Marriott,suspend all Russian operations,Consumer Discretionary,United States,B
Marvell,suspend all sales to Russia in compliance with sanctions,Information Technology,United States,B
Mastercard,suspend operations in Russia,Information Technology,United States,B
Mattel,suspend shipments into Russia,Consumer Discretionary,United States,B
Mazda,suspend all shipments to Russia,Consumer Discretionary,Japan,B
McCormick,suspend operations in Russia,Consumer Staples,United States,B
Meggit,cease all imports and exports with Russia,Industrials,United Kingdom,B
Meta,suspend Russian advertising,Communication Services,United States,B
Metsa,suspend operations at Russian mill,Materials,Finland,B
Metso Outotec,suspend all shipments to Russia,Industrials,Finland,B
Mettler Toledo,suspend all shipments to Russia,Health Care,United States,B
Michelin,suspended all operations in Russia,Consumer Discretionary,France,B
Micro Focus,Suspended business in Russia,Information Technology,United Kingdom,B
Micron,Suspend shipments to Russia according to sanctions,Information Technology,United States,B
Milk Hydrosan sp. z o.o.,suspended Russian contracts,Industrials,Poland,B
Mitsubishi Electric,stop all sales to Russia but reserve the right to return,Industrials,Japan,B
Mitsubishi Motors,suspended operations at Russian plant,Consumer Discretionary,Japan,B
Mobatime (Elekon),stopped activity and remotely stopped clock on Russian Academy of Sciences,Consumer Discretionary,Czech Republic,B
Moncler,suspend operations in Russia,Consumer Discretionary,Italy,B
Moneygram,suspend all payments to Russia,Financials,United States,B
MongoDB,suspend sales to Russia and Belarus,Information Technology,United States,B
Mothercare,suspend operations in Russia,Consumer Discretionary,United Kingdom,B
Motorola Solutions,suspend service orders to Russia,Information Technology,United States,B
MS & AD Insurance Group,suspending operations,Financials,Japan,B
MSC,temporary suspension of all shipments to Russia,Financials,United States,B
MSC Cruises,suspend calls to Russia,Consumer Discretionary,Switzerland,B
Munich Re,not renew current contracts & suspend new business,Financials,Germany,B
MV Group,"suspends all imports and orders, froze partner brands",Consumer Staples,Lithuania,B
MVRDV,suspend operations in Russia,Industrials,Netherlands,B
Namecheap,stop offering products to Russia,Information Technology,United States,B
NCR,suspend sales to Russia,Information Technology,United States,B
NEC,suspend all future sales,Information Technology,Japan,B
Nemak,halt production in Russia,Consumer Discretionary,Mexico,B
Neste Oyj,suspend purchases of Russian oil,Energy,Finland,B
NetApp,suspend business operations in Russia,Information Technology,United States,B
New Balance,suspend shipments to Russia,Consumer Discretionary,United States,B
New Development Bank,curtail Russian access to capital markets,Financials,China,B
NHL,pause all partnerships in Russia,NGO,United States,B
Niantic Labs,products made unavailable in Russia,Information Technology,United States,B
Nikon,suspend shipments to Russia,Consumer Discretionary,Japan,B
Nintendo,suspend all sales in Russia,Communication Services,Japan,B
Nippon Telegraph and Telephone Corporation (NTT),"Completed sale of business, transitioning team",Communication Services,Japan,B
Norton,suspend sales to Russia,Information Technology,United States,B
Nozbe,cut off services for Russia and Belarus,Industrials,Poland,B
NSG Group (Pilkington),suspension all trading and investment,Materials,Japan,B
Nu Skin,suspend Russian operations,Consumer Staples,United States,B
Nutanix,pause all sales and support to Russia,Information Technology,United States,B
Nvidia,suspend all sales in Russia,Information Technology,United States,B
NXP Semiconductors,suspend all shipments to and business with Russia,Information Technology,Netherlands,B
Olvi,stop exports to Russia,Consumer Staples,Finland,B
Olympus,suspend sales of Scientific Solutions portfolio and all capital investments,Information Technology,Japan,B
ON24,suspend all Russian activities,Information Technology,United States,B
OP Bank Lithuania,temporarily stop the processing of all  payments from and to Russia & Belarus,Financials,Lithuania,B
OpenText,suspend all business,Information Technology,Canada,B
Oracle,suspend all operations in Russia,Information Technology,United States,B
Outokumpu,stop sales and deliveries to Russia,Materials,Finland,B
PagerDuty,suspend cooperation with Russian customers,Information Technology,United States,B
Panasonic,suspend operations in Russia,Consumer Discretionary,Japan,B
Papa John's,suspend support for all Russian franchises,Consumer Discretionary,United States,B
Par Pacific,suspend purchases of Russian crude oil,Energy,United States,B
Paramount,pause new content releases to Russia,Communication Services,United States,B
Payoneer,close Russian accounts,Information Technology,United States,B
Paypal,suspend operations in Russia,Information Technology,United States,B
Peak Design,shut down sales to Russia,Consumer Staples,United States,B
Pekao SA,transactions in Russian ruble suspended,Financials,Poland,B
Pernod Ricard,"Resumed exports to Russia, then halted after calls to boycott",Consumer Staples,France,B
Pivovary Staropramen,suspended beer exports,Consumer Staples,Czech Republic,B
Playmobil,stop all sales to Russia,Consumer Discretionary,Germany,B
Plzeňský Prazdroj,suspend sales to Russia,Consumer Staples,Czech Republic,B
Podravka,stop deliveries to Russia,Consumer Staples,Croatia,B
Polaris,suspend exports to Russia,Consumer Discretionary,United States,B
Porsche,end shipments of new cars; dealerships running and warranty obligations honored,Consumer Discretionary,Germany,B
Prada,suspend operations in Russia,Consumer Discretionary,Italy,B
Preem AB,suspend purchases of Russian oil,Energy,Sweden,B
Prosus,In process of divesting from local subsidiary,Industrials,Netherlands,B
PTC,discontinue all business operations and sales,Information Technology,United States,B
Puma,suspend all shipments to Russia,Consumer Discretionary,Germany,B
PVH,suspend operations in Russia,Consumer Discretionary,United States,B
Qlik,suspend sales and services to Russia,Information Technology,Sweden,B
QS,cease activity with Russian customers & cease promotion of Russian universities,NGO,United Kingdom,B
Qualcomm,suspend shipments to Russia,Information Technology,United States,B
Rabobank,curtail Russian access to capital markets,Financials,Netherlands,B
Radio Free Europe,suspend operations in Russia,Communication Services,Czech Republic,B
Rakovnický Pivovar,stopped exports and withdrew some products for sale in Russia,Consumer Staples,Czech Republic,B
Ralph Lauren,pause operations in Russia,Consumer Discretionary,United States,B
Raytheon,suspend operations in Russia,Industrials,United States,B
Recruit Holdings,Suspend Russian access,Industrials,Japan,B
Reima,suspend all sales into Russia,Consumer Discretionary,Finland,B
Remitly Global,stop accepting new users in Russia,Information Technology,United States,B
Renishaw,Suspended business in Russia,Industrials,United Kingdom,B
Revolut,stop top-ups for Russian cards and block transfers to Russian institutions,Financials,United Kingdom,B
Richemont,suspend all operations in Russia,Consumer Discretionary,Switzerland,B
Ricoh,suspend shipments to Russia,Information Technology,Japan,B
Roca,closure of plants,Consumer Discretionary,Spain,B
Rockwell Automation,suspend operations in Russia,Industrials,United States,B
Roland DG,suspend all exports and sales to Russia,Information Technology,Japan,B
Rolex,suspend exports to Russia,Consumer Discretionary,Switzerland,B
Rolls Royce,suspend all shipments to Russia,Industrials,United Kingdom,B
Rotork,Suspended business in Russia,Industrials,United Kingdom,B
Rovio,remove games from app stores in Russia,Information Technology,Finland,B
Royal Caribbean Cruises,Cancel summer cruise ship visits to Russia,Consumer Discretionary,United States,B
Royal Society of Chemistry,pause activities with Russian institutions,NGO,United Kingdom,B
RTB,Suspended business in Russia,Industrials,United States,B
Safran,stop all activities in Russia,Industrials,France,B
Samsonite International,suspend operations in Russia,Consumer Discretionary,Luxembourg,B
Samsung,suspend all shipments to Russia,Information Technology,South Korea,B
Sandvik,suspend all operations in Russia,Industrials,Sweden,B
Sardina,suspend deliveries to Russia,Consumer Staples,Croatia,B
Scandinavian Tobacco,suspend most operations in Russia,Consumer Staples,Denmark,B
Scania,suspend all sales in Russia,Industrials,Sweden,B
Schwarz Group,stop sales of Russian products in stores,Consumer Staples,Germany,B
Sennheiser,suspend all business & stop exports,Information Technology,Germany,B
Sharp Group,suspend shipping into Russia,Information Technology,Japan,B
Sherwin Williams,suspend business,Industrials,United States,B
Shiseido,suspend export shipments to Russia,Consumer Staples,Japan,B
Siemens Energy AG,Sold factory and stake in russian Companies,Industrials,Germany,B
Sigma Group,suspend business,Industrials,Czech Republic,B
Simba Dickie Group,suspend all business in Russia including with local independent distributor,Consumer Discretionary,Germany,B
Skytrax,suspend all audit and rating analysis,NGO,United Kingdom,B
Smartway Pharmaceuticals,"suspended all operations, most supplies, and all advertising",Health Care,United Kingdom,B
Sodeca,cut off all supplies to Russian partners,Industrials,Spain,B
Solvay,suspend operations in Russia,Materials,Belgium,B
SonoSim,suspend distributor relationship in Russia,Health Care,United States,B
Sony,"pause release of new films in Russia, suspending console and game sales in Russia",Consumer Discretionary,Japan,B
Sportradar,"suspend all new investments in Russia, including signing new customers",Consumer Discretionary,Switzerland,B
Spotify,closed office and suspend service,Communication Services,Sweden,B
SriLankan Airlines,suspend flights between Sri Lanka and Russia,Industrials,Sri Lanka,B
SSAB,shipments and sales to Russia discontinued,Materials,Sweden,B
Stellantis,suspend operations in Russia,Consumer Discretionary,Netherlands,B
STIHL,suspend deliveries to Russia,Consumer Discretionary,Germany,B
Storytel,pause operations in Russia,Communication Services,Sweden,B
Subaru,suspend all shipments to Russia,Consumer Discretionary,Japan,B
Sumitomo Group,scaling back or suspending all Russian-related business,Financials,Japan,B
Supercell,remove games from app stores in Russia,Information Technology,Finland,B
Swagelok,Suspended business in Russia,Industrials,United States,B
Swarovski,suspend all sales in Russia,Consumer Discretionary,Liechtenstein,B
Swatch,suspend direct operations in Russia,Consumer Discretionary,Switzerland,B
Sweco,stop all projects in Russia,Industrials,Sweden,B
Synopsys,suspend all operations in Russia,Information Technology,United States,B
Systemair,suspend all sales to Russia,Industrials,Sweden,B
T Machinery,Stopped cooperation,Industrials,Czech Republic,B
Tadano,suspension of shipments into Russia,Industrials,Japan,B
Take-Two Interactive,"halt sales, marketing and more in Russia",Communication Services,United States,B
Talgo,"Ended activity, service center still exists",Industrials,Spain,B
Tanin,goods are stopped,Materials,Slovenia,B
Tata Motors,Paused sales of Jaguar Land Rover in Russia,Consumer Discretionary,India,B
Tendam,suspend activity in Russia,Consumer Discretionary,Spain,B
Thales,Suspended business in Russia,Industrials,France,B
The Navigator Company,suspend all marketing in Russia,Materials,Portugal,B
Thermo Fisher,suspend sales and manufacturing in Russia,Health Care,United States,B
TikTok,suspend operations in Russia,Communication Services,United States,B
Timken,suspend operations in Russia,Industrials,United States,B
Torm,effectively suspend shipments to Russia,Industrials,Denmark,B
Tous,close shops and online store in Russia,Consumer Discretionary,Spain,B
Trelleborg Group,suspended deliveries and sales to Russia,Industrials,Sweden,B
Triumph,suspend Russian business,Consumer Discretionary,Switzerland,B
TSMC,suspend all shipments to Russia,Information Technology,Taiwan,B
TTC Holding,suspended activities,Real Estate,Czech Republic,B
Twin Disc,suspend all shipments to Russia,Industrials,United States,B
Twitter,suspend certain operations in Russia,Communication Services,United States,B
Ubisoft,suspend new sales to Russia,Information Technology,France,B
UiPath,suspend sales in Russia,Information Technology,United States,B
UL,stop all work in Russia & Belarus and not take on or pursue any new customer orders,Industrials,United States,B
Under Armour,suspend all shipments to Russia,Consumer Discretionary,United States,B
Uniqlo/Fast Retailing,suspend operations in Russia,Consumer Discretionary,Japan,B
Universal Music Group,Suspended all operations in Russia and closed offices,Consumer Discretionary,Netherlands,B
UPM,temporarily suspend operations and sales in Russia,Materials,Finland,B
UPS,suspend all shipments to Russia,Industrials,United States,B
Upwork,suspend operations in Russia,Industrials,United States,B
Valero Energy,suspend purchases of Russian oil,Energy,United States,B
Vattenfall,shifting energy purchases away from Russia,Utilities,Sweden,B
Veeam,pause sales in Russia,Information Technology,United States,B
Vesuvius,Suspend deliveries to Russian customers,Industrials,United Kingdom,B
VF Corporation,temporarily suspend commercial activities,Consumer Discretionary,United States,B
Victoria’s Secret,"stop exports to Russia, pause sales in Russia by franchisers, suspend online sales",Consumer Discretionary,United States,B
Viessmann,stop business with Russia & stop deliveries to and from Russia,Industrials,Germany,B
Vietnam Airlines,suspend flights to Russia,Industrials,Vietnam,B
Viking River Cruises,cease all operations in Russia & cancel trips to Russia up to 2024,Consumer Discretionary,Switzerland,B
Villeroy & Boch,Suspended business in the region until further notice,Consumer Discretionary,Germany,B
Visa,suspend operations in Russia,Information Technology,United States,B
Vitec Group,suspend all exports and services,Consumer Discretionary,United Kingdom,B
Viva,Suspended purchases of Russian oil,Energy,Australia,B
VMWare,suspend operations in Russia,Information Technology,United States,B
Volkswagen,suspend all shipments to Russia,Consumer Discretionary,Germany,B
Volvo Cars,suspend all shipments to Russia,Industrials,Sweden,B
Volvo Group,"suspend all sales, service and production",Industrials,Sweden,B
WarnerMedia,pause new content releases,Communication Services,United States,B
Waters Corporation,suspend all sales and services into Russia,Health Care,United States,B
WEKA,suspend business and concrete deals with Russia,Information Technology,Israel,B
Western Union,suspend operations in Russia,Information Technology,United States,B
WeTransfer,suspend all services in Russia,Information Technology,United States,B
Wielton,suspended Russian exports,Industrials,Poland,B
William Grant & Sons,Suspend all shipments to Russia,Consumer Staples,United Kingdom,B
Wimbledon,Ban Russian athletes,NGO,United Kingdom,B
Wintershall Dea AG,intends to fully exit Russia,Energy,Germany,B
Wise PLC,Suspend Russian partnerships,Information Technology,United Kingdom,B
Wizz Air,Air flights to/from Russia are temporarily suspended,Industrials,Hungary,B
Wolffkran,Stop production in Russia; maintain personnel,Industrials,Switzerland,B
World Boxing Council,Suspend Russia from title fights,NGO,Mexico,B
World Federation of Exchanges,Suspend all Russian members and affiliates,NGO,United Kingdom,B
Woseba,suspends deliveries to Russia,Consumer Staples,Poland,B
Wrangler (Kontoor),Suspend online sales,Consumer Discretionary,United States,B
Würth,Stop exports to Russia,Consumer Discretionary,Germany,B
WWE,Suspend all operations in Russia,Communication Services,United States,B
Xerox,Suspend shipments to Russia,Information Technology,United States,B
Yanmar,suspend operations,Consumer Discretionary,Japan,B
Yara,Suspend all imports from Russia,Materials,Norway,B
YKK Group,Suspend operations in Russia,Industrials,Japan,B
YOOX,Suspend commercial activities,Consumer Discretionary,Italy,B
Żabka,Halts orders from Russia & Belarus,Consumer Staples,Poland,B
Zegna Group,Suspended all shipments to and production for Russia partners,Consumer Discretionary,Italy,B
Zendesk,Suspend all sales to Russia,Information Technology,United States,B
Zetor,suspend all cooperation with Russia,Industrials,Czech Republic,B
ZHA,suspend operations in Russia,Industrials,United Kingdom,B
Zynga,"suspend all installations, monetization and marketing support",Communication Services,United States,B
AAK,Exited Russia.,Consumer Staples,Sweden,A
Aarsleff,Withdrew from Russia,Industrials,Danish,A
AB InBev,sold stake in joint ventures and suspend using its license in Russia,Consumer Staples,Belgium,A
ABB,Exited Market,Industrials,Switzerland,A
Accenture,exiting Russia completely,Information Technology,Ireland,A
Accountor,withdrawal from Russia,Information Technology,Finland,A
Acerinox,Ceased Operations,Materials,Spain,A
Acronis,suspend operations in Russia,Information Technology,Switzerland,A
Adenza,discontinue all operations in Russia,Information Technology,United Kingdom,A
Adidas,Permently winding down business,Consumer Discretionary,Germany,A
AECOM,exit Russia operations,Industrials,United States,A
Aegon,Sold exposure,Financials,Netherlands,A
AerCap,cease leasing activity with Russian airlines,Industrials,Ireland,A
AFRY,Fully exit Russia after selling its operations,Industrials,Sweden,A
AG Barr,cut ties with Russian market,Consumer Staples,United Kingdom,A
Agilent,Fully stop all business in Russia,Information Technology,United States,A
Agrokoncernas,Fully stop all business in Russia,Industrials,Lithuania,A
Aimbridge | Interstate Hotels,Suspended all operations,Consumer Discretionary,United States,A
Air Lease,Fully stop all business in Russia,Industrials,United States,A
Air Liquide,Withdrawal from Russia,Materials,France,A
Air Products,full divestiture from Russia,Materials,United States,A
AirBaltic,leave Russian market until further notice,Industrials,Latvia,A
Akvelon,close offices in Moscow,Information Technology,United States,A
Alcoa,"cease buying raw materials from, or selling our products to, Russian businesses",Materials,United States,A
Aldi,remove products from Russia,Consumer Staples,Germany,A
Allegro,bans Russian & Belarussian products,Consumer Discretionary,Poland,A
Allen & Overy,wind down Russian operations,Industrials,United Kingdom,A
Amedia,Fully exit Russia after selling its operations,Communication Services,Norway,A
American Airlines,end agreements with Russian airlines,Industrials,United States,A
Ametek,closing TPM Russia subsidiary due to war in Ukraine,Industrials,United States,A
AmRest,Fully exit Russia after selling its operations,Consumer Discretionary,Spain,A
Amsted Rail,exit Russia completely,Industrials,United States,A
Amway,Ceased operations in Russia,Consumer Staples,United States,A
Ansell,Fully exit Russia after selling its operations,Industrials,Australia,A
AP7,sell off  all of Russian shares,Financials,Sweden,A
APG,sell all Russian investment,Financials,Netherlands,A
Arconic,Exited Russia,Materials,United States,A
Arendt & Medernach,pull out of Russia; close Russian office and suspend select Russian client engagements,Industrials,Luxembourg,A
Arrival,Fully exit Russia after selling its operations,Consumer Discretionary,United Kingdom,A
Asda,remove products from Russia,Consumer Staples,United Kingdom,A
Asics,Ceased all business operations in Russia,Consumer Discretionary,Japan,A
Aspo,Exited Russia Market,Industrials,Finland,A
Assicurazioni Generali,exit Russia completely,Financials,Italy,A
Atos,exit from Russia,Information Technology,France,A
Atria,exit business in Russia,Consumer Staples,Finland,A
Autogrill,Fully exit Russia after selling its operations,Consumer Discretionary,Italy,A
Avantor,"Discontinued all sales into Russia, direct and indirect",Health Care,United States,A
Avaya,Left Russia,Information Technology,United States,A
Avery Dennison,exit Russian operations,Materials,United States,A
Avid,"cease all sales and support to all customers, users and resellers in Russia & Belarus",Information Technology,United States,A
Aviva,Exited all equity and debt positions,Financials,United Kingdom,A
AVL,"Stopped on business, initiated divestment process",Industrials,Austria,A
Badoo,Fully stop all business in Russia,Industrials,United Kingdom,A
Baker Botts,wind down Moscow office,Industrials,United States,A
Baker Hughes,no longer provide engineering services to Russian LNG developers,Energy,United States,A
Baker McKenzie,cease operations in Russia and transfer them to an independent entity,Industrials,United States,A
Baker Tilly,gradual wind down of operations in Russia,Financials,United Kingdom,A
Bakoma,withdraw from Russia completely prior to aggression,Consumer Staples,Poland,A
Ball Corporation,leave Russia completely,Materials,United States,A
BaseTrack,Fully exit Russia after selling its operations,Information Technology,Estonia,A
BASF SE,wind down Russian operations,Materials,Germany,A
BBDO,exit Russian operations,Industrials,United States,A
Beam Suntory,Fully exit Russia after selling its operations,Consumer Staples,Japan,A
Bellona,Fully exit Russia after selling its operations,NGO,Norway,A
Bentley Systems,Ended operations in Russia,Information Technology,United States,A
Bestseller,stop all sales to Russia through distributors,Consumer Discretionary,Denmark,A
Bet356,Fully stop all business in Russia,Consumer Discretionary,United Kingdom,A
BioMar,No longer doing business in Russia,Industrials,Danish,A
BlackRock,curtail Russian access to capital markets,Financials,United States,A
Blockchain.com,Fully stop all business in Russia,Information Technology,Luxembourg,A
Bonava,close operations in Russia,Real Estate,Sweden,A
Booking,Suspended operations in Russia,Consumer Discretionary,United States,A
Boreo,Fully exit Russia after selling its operations,Industrials,Finland,A
Bose,stop all product shipments,Information Technology,United States,A
Boskalis,exit Russian  Arctic LNG 2 project,Industrials,Netherlands,A
Breitling SA,Fully exit Russia after selling its operations,Consumer Discretionary,Switzerland,A
Bristol-Myers Squibb,transfer business and exit completely,Health Care,United States,A
British American Tobacco,exit Russian operations,Consumer Staples,United Kingdom,A
British Petroleum (BP),Will divest from 20% Rosneft stake,Energy,United Kingdom,A
British Standards Institution (BSI),terminate all contractual relations & discontinue services in Russia,Industrials,United Kingdom,A
Broadridge Financial Solutions,Fully exit Russia after selling its operations,Financials,United States,A
Brunel,Fully exit Russia after selling its operations,Industrials,Netherlands,A
Bryan Cave,exit Russian operations; local partners and counsel form new firms,Industrials,United States,A
BSI,Fully stop all business in Russia,Industrials,United Kingdom,A
Bumble,remove apps from app stores,Communication Services,United States,A
Bunge,Sold Russian Business,Consumer Staples,United States,A
Cadence,terminate operations in Russia,Information Technology,United States,A
Calrec,Cease all commercial activity with Russia,Consumer Discretionary,United Kingdom,A
Canara,Fully exit Russia after selling its operations,Financials,India,A
Canva,withdraw from Russia,Information Technology,Australia,A
Cargotec,Ramped Down Business,Industrials,Finland,A
Carnival,discontinue Russia itineraries,Consumer Discretionary,United States,A
Caverion,Withdrew from Russia,Industrials,Finland,A
CBC,Cease all reporting from Russia and all presence,Communication Services,Canada,A
CCC,Left Russia. Sold Subsidary,Consumer Discretionary,Poland,A
CD Projekt,Halts all sales of products in Russia & Belarus,Communication Services,Poland,A
Centrica,exit gas supply partnership with Gazprom,Utilities,United Kingdom,A
CERN,Will end cooperation with Russia in 2024,NGO,Switzerland,A
CFA Institute,Cease all business in Russia,NGO,United States,A
Chanel,Stopped selling in Russia and to those with intent to sell in Russia,Consumer Discretionary,France,A
Chapman Freeborn,Cease business operation in Russia,Industrials,United Kingdom,A
Charles Schwab,Limit access to Russian capital markets,Financials,United States,A
Ciech,suspended Russian exports,Materials,Poland,A
Cisco,orderly wind down Russian operations,Information Technology,United States,A
Clarivate,exit Russian operations,Industrials,United Kingdom,A
Cleaves,Fully stop all business in Russia,Financials,Norway,A
Clifford Chance,wind down operations in Moscow; local partners and counsels form own firm,Industrials,United Kingdom,A
CMA CGM,Completes Russia Exit,Industrials,France,A
CMS,transfer Russian practice to local partners and counsel,Industrials,Germany,A
Colliers,discontinue business in Russia,Real Estate,Canada,A
Columbus,Withdrew from Russia,Information Technology,Denmark,A
Comarch,halts orders from Russia & Belarus,Information Technology,Poland,A
Commvault,fully wind down Russian business,Information Technology,United States,A
Compass Group,permanently exit Russian market,Consumer Staples,United Kingdom,A
Compass Mining,Terminate all Russian partnerships and business,Financials,United States,A
Coop,fully divest Russian operations Transgourmet via management buyout,Financials,Switzerland,A
Corteva,Stoped production and business activities in Russia,Consumer Staples,United States,A
Coty,wind down Russian business,Consumer Staples,United States,A
Covestro,Ceased Business Activity in Russia,Materials,Germany,A
CRH,withdrawal from Russia,Materials,Ireland,A
Cummins,exit Russian operations,Industrials,United States,A
Currency.com,halting operations for residents of Russian,Financials,United Kingdom,A
Cushman & Wakefield,close office in Russia; transfer to local partner,Real Estate,United States,A
Cyfrowy Polsat,removing Russian TV channels from the offer,Communication Services,Poland,A
Daikin,End all Russian business,Industrials,Japan,A
Danfoss,exit Russia completely,Industrials,Denmark,A
DDB,exit Russian operations,Materials,United States,A
Dechert,close Russian office,Industrials,United States,A
Deezer,discontinue services in Russia,Communication Services,France,A
Deichmann,withdraw from Russia,Consumer Discretionary,Germany,A
Dell,Ceased all operations,Information Technology,United States,A
Deloitte,leaving Russia completely; local office launched own firm,Industrials,United States,A
Delta Air Lines,withdraw codeshare services with Aeroflot,Industrials,United States,A
Dentsu International,divest joint venture/leave Russia,Communication Services,United Kingdom,A
Deugro,Fully exit Russia after selling its operations,Industrials,Germany,A
Deutsche Bank,wind down business in Russia,Financials,Germany,A
Deutsche Telekom,close Russian business,Communication Services,Germany,A
Digicert,Fully stop all business in Russia,Information Technology,United States,A
Dino Polska,removed Russian products,Consumer Staples,Poland,A
DLA Piper,withdrawing from Russia,Industrials,United States,A
DMG Mori,Withdrew business in Russia,Industrials,Japan,A
Docker,End all business in Russia,Information Technology,United States,A
Donaldson Company,Terminated Operations,Industrials,United States,A
DPD,withdrawal from the Russian market,Industrials,Germany,A
Dr. Oetker,stops sales and production in Russia; transferred ownership of production facilities,Consumer Staples,Germany,A
Draftkings,Limit business access in Russia,Consumer Discretionary,United States,A
Duisburger Hafen,End all shipments with Russia and Belarus,Industrials,Germany,A
DWS,End Russian products,Financials,Germany,A
DXC Technology,leaving Russia completely,Information Technology,United States,A
EarthDaily Analytics,terminate operations in Russia,Industrials,United States,A
Eastnine,Fully exit Russia after selling its operations,Industrials,Sweden,A
Edeka,remove Russian food from store shelves,Consumer Staples,Germany,A
edX (2U),withdraw from all Russian partnerships,Information Technology,United States,A
Ejot,Withdrew from Russia,Industrials,Germany,A
Electronic Arts,make new game purchases unavailable in Russia,Communication Services,United States,A
Elisa Esports,ban Russian teams from participating in tournaments,NGO,Finland,A
ELKO Group,leave Russia,Information Technology,Latvia,A
Elopak,Fully exit Russia after selling its operations,Materials,Norway,A
Emerson Electric,exit Russian business,Industrials,United States,A
Endeavour Group,Stop transacting with all Russian products,Consumer Staples,Australia,A
Enel,divest from the entire Russian stakes,Utilities,Italy,A
ENEOS,discontinue purchases of Russian crude,Energy,Japan,A
Energizer,Fully exit Russia after selling its operations,Industrials,United States,A
EnerSys,End Russian operations,Industrials,United States,A
Eni,suspend stipulation of new oil contracts; divest from investments for rubles,Energy,Italy,A
EPAM,discontinue servicing Russian customers,Information Technology,United States,A
Equinor,exit joint ventures in Russia,Energy,Norway,A
Espersen,Fully exit Russia after selling its operations,Consumer Staples,Denmark,A
Etsy,deactivate all listings from Russian sellers,Consumer Discretionary,United States,A
Euroins,Fully exit Russia after selling its operations,Financials,Bulgaria,A
Eurovision,ban on all Russian competition,NGO,United Kingdom,A
Eversheds Sutherland,close Russia office; transfer Russia practice to local partners and counsels,Industrials,United Kingdom,A
Evonik,withdraw from Russia,Materials,Germany,A
Expedia,Suspend bookings in Russia,Consumer Discretionary,United States,A
Exxonmobil,exit Rosneft partnership,Energy,United States,A
EY,leaving Russia completely,Industrials,United States,A
Fantasy Premier League,Suspend all users from Russia,Consumer Discretionary,United Kingdom,A
Faurecia | Forvia,Faurecia has decided to disengage from Russia and completed depreciation of related assets,Consumer Discretionary,France,A
Fazer,exit Russia,Consumer Staples,Finland,A
Fennovoima,terminate Russian nuclear power plant project,Energy,Finland,A
FICO,exiting all work in Russia,Information Technology,United States,A
Fiskars,withdraw completely from the Russian market,Consumer Discretionary,Finland,A
Five9,Fully close all Russian operations,Information Technology,United States,A
Flowserve,exit Russia completely,Industrials,United States,A
FMC Corporation,discontinue all business and operations,Materials,United States,A
Fonterra,exit its businesses in Russia,Consumer Staples,New Zealand,A
Ford,Sold Joint Venture,Consumer Discretionary,United States,A
Formula One,terminate contract with the Russian Grand Prix promoter,Communication Services,United Kingdom,A
Fortum,exit Russian market,Utilities,Finland,A
Freedom Holding,Sold Russian subsidiaries,Financials,Kazakhstan,A
Freshfields,closing business in Russia,Industrials,United Kingdom,A
Fugro,suspend all projects in Russia,Industrials,Netherlands,A
Fujifilm,Suspended some shipments,Information Technology,Japan,A
G2A,block marketplace for Russian users,Communication Services,Netherlands,A
Galp,suspend Russian oil-product purchases; eliminate Russian exposure,Energy,Portugal,A
Game Insight,Fully liquidate Russian operations,Consumer Discretionary,Lithuania,A
Gameloft,make company's games unavailable in Russia,Information Technology,France,A
Garmin,stop all future trade with Russia,Consumer Discretionary,United States,A
Gaz-System,stopped gas imports,Utilities,Poland,A
GC Rieber,Fully end all Russian business,Industrials,Norway,A
Geberit,discontinue all operations in Russia,Industrials,Switzerland,A
Gett,Fully terminate all Russian business,Industrials,Israel,A
Global Fashion Group,Fully exit Russia after selling its operations,Consumer Discretionary,Luxembourg,A
Global Foundries,suspend all shipments to Russia,Information Technology,United States,A
GM,suspend all shipments to Russia,Consumer Discretionary,United States,A
GoDaddy,discontinue all Russian services,Information Technology,United States,A
Goodvalley,Fully exit Russia after selling its operations,Consumer Staples,Denmark,A
Gowling,Stopped business in Russia,Industrials,Canada,A
Grant Thornton,closing business in Russia,Industrials,United States,A
Grid Dynamics,close offices in Russia & cease all operations,Information Technology,United States,A
Grundfos,Closes business in Russia and Belarus,Industrials,Denmark,A
H&M,Winding down business entirely,Consumer Discretionary,Sweden,A
Halewood,Fully pull out of Russia,Consumer Staples,United Kingdom,A
Halliburton,No longer conducts operations in Russia,Energy,United States,A
Halyk Bank,Fully exit Russia after selling its operations,Financials,Kazakhstan,A
Hampidjan,full withdrawal,Industrials,Iceland,A
Haniel,unwind all Russian business,Materials,Germany,A
Hansgrohe,cease all activities with Russia,Consumer Discretionary,Germany,A
Hard Rock Café,fully close all stores in Russia,Consumer Staples,United States,A
Harvia,Withdrew from Russia,Consumer Discretionary,Finland,A
Hays plc,close Russian business,Industrials,United Kingdom,A
Hearst Communications,terminate the licensing agreements & turn over its equity to Russian subsidiary,Communication Services,United States,A
